HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,ENDO,COAST,ORDER,SORT
5080069460,0,5080069460,5080069460,0,0,434.4,434.6,"56330096","0","0","1","7121"
5080069470,0,5080069470,5080069470,0,0,1189.6,1189.6,"56330097","0","1","0","7122"
5080069540,0,5080069540,5080069540,0,0,438.9,438.9,"56330098","0","0","1","7123"
5080069550,0,5080069550,5080069550,0,0,703.5,703.5,"56330099","0","1","0","7124"
5080069590,0,5080069590,5080069590,0,0,636.4,140914.3,"56341010","0","0","1","7125"
5080376700,5080069590,5080069590,5080069590,32.7,32.7,910.3,910.3,"56341020","0","0","2","7126"
5080376530,5080069590,5080069590,5080069590,32.9,32.9,723.3,139367.4,"56341030","0","0","1","7127"
5080373040,5080376530,5080069590,5080069590,74.3,74.3,1850.2,1850.2,"56341040","0","0","2","7128"
5080372960,5080376530,5080069590,5080069590,74.5,74.5,1334.7,136793.9,"56341050","0","0","1","7129"
5080370310,5080372960,5080069590,5080069590,147.6,147.6,965,965.5,"56341060","0","0","2","7130"
5080370540,5080372960,5080069590,5080069590,147.8,147.8,1451.7,134493.5,"56341070","0","0","1","7131"
5080380910,5080370540,5080069590,5080069590,247.3,247.3,787.7,132236,"56341090","0","0","1","7132"
5080381040,5080370540,5080069590,5080069590,247.3,247.3,804.6,804.8,"56341080","0","0","2","7133"
5080382670,5080380910,5080069590,5080069590,286.3,286.3,310,80608.2,"56343001","0","0","1","7134"
5080382770,5080380910,5080069590,5080069590,286.5,286.5,2132.6,50840,"56342100","0","0","2","7135"
5080379740,5080382670,5080069590,5080069590,311.2,311.2,93.7,79909.7,"56343003","0","0","1","7136"
5080379640,5080382670,5080069590,5080069590,311.2,311.2,388.6,388.6,"56343002","0","0","2","7137"
5080379730,5080379740,5080069590,5080069590,315.7,315.7,2467.3,2467.3,"56343004","0","0","2","7138"
5080379630,5080379740,5080069590,5080069590,315.7,315.7,932.9,77348.9,"56343005","0","0","1","7139"
5080389920,5080382770,5080069590,5080069590,333.4,333.4,131.9,41070.2,"56342301","0","0","2","7140"
5080389760,5080382770,5080069590,5080069590,333.6,333.6,891.3,7636.8,"56342201","0","0","3","7141"
5080391870,5080389920,5080069590,5080069590,348.1,348.1,110.8,40639.3,"56342303","0","0","2","7142"
5080391690,5080389920,5080069590,5080069590,348.3,348.3,299,299,"56342302","0","0","3","7143"
5080394080,5080391870,5080069590,5080069590,364.3,364.3,168.5,168.6,"56342304","0","0","3","7144"
5080394150,5080391870,5080069590,5080069590,364.3,364.3,227.2,40360.1,"56342305","0","0","2","7145"
5080396930,5080394150,5080069590,5080069590,380.4,380.4,1228.1,1228.1,"56342306","0","0","3","7146"
5080397090,5080394150,5080069590,5080069590,380.5,380.5,140.4,38904.8,"56342307","0","0","2","7147"
5080392770,5080389760,5080069590,5080069590,381.1,381.1,430.4,5797.9,"56342203","0","0","3","7148"
5080392630,5080389760,5080069590,5080069590,381.1,381.1,947.8,947.8,"56342202","0","0","4","7149"
5080371020,5080379630,5080069590,5080069590,386.6,386.6,298.6,298.8,"56343006","0","0","2","7150"
5080371030,5080379630,5080069590,5080069590,386.8,386.8,22.2,76117.3,"56343007","0","0","1","7151"
5080370080,5080371030,5080069590,5080069590,391.8,391.8,352.8,352.8,"56343008","0","0","2","7152"
5080370070,5080371030,5080069590,5080069590,392,392,360.6,75742.4,"56343009","0","0","1","7153"
5080399990,5080397090,5080069590,5080069590,397.9,397.9,640.9,641,"56342308","0","0","3","7154"
5080400120,5080397090,5080069590,5080069590,398.1,398.1,120.3,38123.4,"56342309","0","0","2","7155"
5080390530,5080392770,5080069590,5080069590,400,400,299.5,4624.4,"56342205","0","0","3","7156"
5080390450,5080392770,5080069590,5080069590,400,400,743.2,743.2,"56342204","0","0","4","7157"
5080403110,5080400120,5080069590,5080069590,417.1,417.1,1302.4,29260.8,"56342501","0","0","2","7158"
5080402980,5080400120,5080069590,5080069590,417.3,417.3,51.2,8742.3,"56342401","0","0","3","7159"
5080365270,5080370070,5080069590,5080069590,423.4,423.4,2060,22654.7,"56344010","0","0","2","7160"
5080365400,5080370070,5080069590,5080069590,423.6,423.6,200.4,52727.1,"56345001","0","0","1","7161"
5080394020,5080390530,5080069590,5080069590,425.4,425.4,603.4,603.5,"56342206","0","0","4","7162"
5080394090,5080390530,5080069590,5080069590,425.6,425.6,1.7,3721.3,"56342207","0","0","3","7163"
5080394160,5080394090,5080069590,5080069590,426.7,426.7,960.8,960.8,"56342208","0","0","4","7164"
5080394260,5080394090,5080069590,5080069590,426.7,426.7,2759,2759,"56342209","0","0","3","7165"
5080403970,5080402980,5080069590,5080069590,428.7,428.7,49.7,7015.9,"56342403","0","0","3","7166"
5080404220,5080402980,5080069590,5080069590,428.7,428.7,1675.3,1675.3,"56342402","0","0","4","7167"
5080402860,5080403970,5080069590,5080069590,441.8,441.8,42.1,3206.5,"56342405","0","0","3","7168"
5080402780,5080403970,5080069590,5080069590,442,442,3759.5,3759.8,"56342404","0","0","4","7169"
5080369590,5080365400,5080069590,5080069590,451.4,451.4,437.4,51450.4,"56345003","0","0","1","7170"
5080369870,5080365400,5080069590,5080069590,451.4,451.4,1076.3,1076.3,"56345002","0","0","2","7171"
5080401030,5080402860,5080069590,5080069590,453.5,453.5,215.4,2613.7,"56342407","0","0","3","7172"
5080401040,5080402860,5080069590,5080069590,453.5,453.5,550.9,550.9,"56342406","0","0","4","7173"
5080359870,5080365270,5080069590,5080069590,471.3,471.3,1267.9,1267.9,"56344020","0","0","3","7174"
5080359720,5080365270,5080069590,5080069590,471.5,471.5,165.7,19326.7,"56344030","0","0","2","7175"
5080371160,5080369590,5080069590,5080069590,478.2,478.2,447.9,48495.4,"56345005","0","0","1","7176"
5080370910,5080369590,5080069590,5080069590,478.4,478.4,2518,2518,"56345004","0","0","2","7177"
5080398130,5080401030,5080069590,5080069590,488.8,488.8,1283.3,1283.4,"56342409","0","0","3","7178"
5080398440,5080401030,5080069590,5080069590,488.9,488.9,1115.1,1115.1,"56342408","0","0","4","7179"
5080357250,5080359720,5080069590,5080069590,489,489,423.4,9671.8,"56344050","0","0","2","7180"
5080357260,5080359720,5080069590,5080069590,489.2,489.2,32.4,9489.2,"56344041","0","0","3","7181"
5080354500,5080357260,5080069590,5080069590,503.5,503.5,679.6,679.6,"56344042","0","0","4","7182"
5080354390,5080357260,5080069590,5080069590,503.7,503.7,234.1,8777.3,"56344043","0","0","3","7183"
5080412480,5080403110,5080069590,5080069590,512.1,512.1,546.1,546.1,"56342502","0","0","3","7184"
5080412670,5080403110,5080069590,5080069590,512.3,512.3,1.9,27412.1,"56342503","0","0","2","7185"
5080412860,5080412670,5080069590,5080069590,513.8,513.8,846.9,846.9,"56342504","0","0","3","7186"
5080412920,5080412670,5080069590,5080069590,513.8,513.8,888.9,26563.3,"56342505","0","0","2","7187"
5080374580,5080371160,5080069590,5080069590,515.9,515.9,625.5,625.5,"56345006","0","0","2","7188"
5080374720,5080371160,5080069590,5080069590,515.9,515.9,56.2,47421.7,"56345007","0","0","1","7189"
5080351700,5080354390,5080069590,5080069590,521.2,521.2,1853.2,1853.3,"56344044","0","0","4","7190"
5080351640,5080354390,5080069590,5080069590,521.2,521.2,144.4,6690,"56344045","0","0","3","7191"
5080353610,5080357250,5080069590,5080069590,522.7,522.7,321.9,8074.2,"56344070","0","0","2","7192"
5080353390,5080357250,5080069590,5080069590,522.7,522.7,1174.1,1174.2,"56344060","0","0","3","7193"
5080376520,5080374720,5080069590,5080069590,526.3,526.3,1122.3,1122.3,"56345008","0","0","2","7194"
5080376510,5080374720,5080069590,5080069590,526.4,526.4,1083.3,46243.3,"56345009","0","0","1","7195"
5080349360,5080351640,5080069590,5080069590,535.1,535.1,1079.8,2319.2,"56344047","0","0","3","7196"
5080349200,5080351640,5080069590,5080069590,535.3,535.3,4226.1,4226.4,"56344046","0","0","4","7197"
5080354490,5080353610,5080069590,5080069590,538,538,604.6,6304.5,"56344091","0","0","2","7198"
5080354620,5080353610,5080069590,5080069590,538,538,1447.8,1447.8,"56344080","0","0","3","7199"
5080417920,5080412920,5080069590,5080069590,549.2,549.2,836.2,836.3,"56342506","0","0","3","7200"
5080417970,5080412920,5080069590,5080069590,549.4,549.4,1720.6,24838,"56342507","0","0","2","7201"
5080352780,5080354490,5080069590,5080069590,569.5,569.5,10.4,5200.9,"56344093","0","0","2","7202"
5080353060,5080354490,5080069590,5080069590,569.5,569.5,498.8,499,"56344092","0","0","3","7203"
5080352260,5080352780,5080069590,5080069590,573.4,573.4,752,752.1,"56344094","0","0","3","7204"
5080352270,5080352780,5080069590,5080069590,573.5,573.5,870.6,4438.4,"56344095","0","0","2","7205"
5080381030,5080376510,5080069590,5080069590,592.5,592.5,2423.4,27822.2,"56347000","0","0","1","7206"
5080381140,5080376510,5080069590,5080069590,592.6,592.6,1.3,17337.7,"56346011","0","0","2","7207"
5080381200,5080381140,5080069590,5080069590,593.5,593.5,825.1,825.5,"56346012","0","0","3","7208"
5080381310,5080381140,5080069590,5080069590,593.6,593.6,278.7,16510.9,"56346013","0","0","2","7209"
5080424720,5080417970,5080069590,5080069590,611.4,611.4,821.8,22088.1,"56342509","0","0","2","7210"
5080424800,5080417970,5080069590,5080069590,611.6,611.6,1029.6,1029.6,"56342508","0","0","3","7211"
5080339770,5080349360,5080069590,5080069590,615.5,615.5,578.6,578.6,"56344048","0","0","4","7212"
5080339620,5080349360,5080069590,5080069590,615.5,615.5,661.1,661.1,"56344049","0","0","3","7213"
5080384100,5080381310,5080069590,5080069590,617,617,916.2,916.2,"56346014","0","0","3","7214"
5080384210,5080381310,5080069590,5080069590,617,617,285.8,15316.1,"56346015","0","0","2","7215"
